LeetCode No,Problem Title,Level,Tags,Acceptance,URL
986, Interval List Intersections,Medium,ArrayTwo Pointers,71.2,https://leetcode.com/problems/interval-list-intersections
990, Satisfiability of Equality Equations,Medium,ArrayStringUnion Find1+,50.2,https://leetcode.com/problems/satisfiability-of-equality-equations
994, Rotting Oranges,Medium,ArrayBreadth-First SearchMatrix,51.8,https://leetcode.com/problems/rotting-oranges
1004, Max Consecutive Ones III,Medium,ArrayBinary SearchSliding Window1+,63.1,https://leetcode.com/problems/max-consecutive-ones-iii
1007, Minimum Domino Rotations For Equal Row,Medium,ArrayGreedy,52.6,https://leetcode.com/problems/minimum-domino-rotations-for-equal-row
1008, Construct Binary Search Tree from Preorder Traversal,Medium,ArrayStackTree3+,80.4,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal
1019, Next Greater Node In Linked List,Medium,ArrayLinked ListStack1+,59.7,https://leetcode.com/problems/next-greater-node-in-linked-list
1020, Number of Enclaves,Medium,ArrayDepth-First Search3+,63.3,https://leetcode.com/problems/number-of-enclaves
1027, Longest Arithmetic Subsequence,Medium,ArrayHash TableBinary Search1+,48.0,https://leetcode.com/problems/longest-arithmetic-subsequence
1035, Uncrossed Lines,Medium,ArrayDynamic Programming,58.1,https://leetcode.com/problems/uncrossed-lines
1041, Robot Bounded In Circle,Medium,MathStringSimulation,55.4,https://leetcode.com/problems/robot-bounded-in-circle
1101, The Earliest Moment When Everyone Become Friends,Medium,ArrayUnion Find,64.3,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends
1143, Longest Common Subsequence,Medium,StringDynamic Programming,58.9,https://leetcode.com/problems/longest-common-subsequence
1146, Snapshot Array,Medium,ArrayHash TableBinary Search1+,37.1,https://leetcode.com/problems/snapshot-array
1218, Longest Arithmetic Subsequence of Given Difference,Medium,ArrayHash TableDynamic Programming,51.7,https://leetcode.com/problems/longest-arithmetic-subsequence-of-given-difference
1219, Path with Maximum Gold,Medium,ArrayBacktrackingMatrix,65.5,https://leetcode.com/problems/path-with-maximum-gold
1254, Number of Closed Islands,Medium,ArrayDepth-First Search3+,63.5,https://leetcode.com/problems/number-of-closed-islands
1310, XOR Queries of a Subarray,Medium,ArrayBit ManipulationPrefix Sum,71.4,https://leetcode.com/problems/xor-queries-of-a-subarray
1325, Delete Leaves With a Given Value,Medium,TreeDepth-First SearchBinary Tree,74.8,https://leetcode.com/problems/delete-leaves-with-a-given-value
1376, Time Needed to Inform All Employees,Medium,TreeDepth-First SearchBreadth-First Search,58.2,https://leetcode.com/problems/time-needed-to-inform-all-employees
1415, The k-th Lexicographical String of All Happy Strings of Length n,Medium,StringBacktracking,71.5,https://leetcode.com/problems/the-k-th-lexicographical-string-of-all-happy-strings-of-length-n
1448, Count Good Nodes in Binary Tree,Medium,TreeDepth-First Search2+,73.0,https://leetcode.com/problems/count-good-nodes-in-binary-tree
1456, Maximum Number of Vowels in a Substring of Given Length,Medium,StringSliding Window,57.6,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length
